"","Scenario","Year","min","low_1.5*IQR","Q25","median","Q75","hi_1.5*IQR","max"
"1","BIODIV",2030,0.0351966873705919,0.0351966873705919,0.258766696774126,0.368661744717493,0.621221738512819,0.888175296290447,3.38413401799483
"2","BIODIV30",2030,0.0337178349600638,0.0337178349600638,0.272580798150398,0.36035909043183,0.537349952114705,0.756208457568525,3.48219231402609
"3","UNIFORM30",2030,0.0313516711032223,0.0313516711032223,0.319381869342995,0.441597507031039,0.593415788798445,0.86695525552,7.08003353444018
"4","BIODIV",2050,3.49029506484463,3.49029506484463,3.7951231414516,4.00111839522184,4.27042887263144,4.92810660590682,6.93792547105357
"5","BIODIV30",2050,3.01544472490595,3.01544472490595,3.27411897845022,3.4219916180181,3.69560335407579,4.27649180950408,6.40089559856112
"6","UNIFORM30",2050,3.66094144224983,4.06185626831462,4.51257532976323,4.86664168209989,5.03829704071738,5.79827998324339,5.98191013757271
"7","BIODIV",2075,3.55290186858062,4.30528544137136,4.70389413619986,4.8514126574071,5.12939993111936,5.64157327581103,9.32651788582549
"8","BIODIV30",2075,3.19292166811038,3.79652187881267,4.17147111165839,4.28797810834344,4.53175423309368,4.91140734931684,7.20514080789325
"9","UNIFORM30",2075,4.79313746884231,5.39808691860798,5.70502557461492,5.93521236307584,6.15532043695702,6.61522178207037,7.33048622445944
"10","BIODIV",2100,3.24120490614795,3.6677514682228,4.04084172880484,4.168609833914,4.42076294979655,4.95701899419576,6.81448660420931
"11","BIODIV30",2100,2.95174112464575,3.2504769386152,3.56270507018261,3.69459560140213,3.9549872824506,4.40732126417723,5.34370734304952
"12","UNIFORM30",2100,4.00897433490415,4.00897433490415,4.7052925983166,4.96954467700429,5.20358232504249,5.78223102782478,5.78223102782478
