"Scenario","Protected_or_Unavailable_land_km2","Protected_or_Unavailable_percent_land","Protected_percent_land","Suitable_Protected_land_km2","Suitable_Protected_percent_land","Suitable_Unprotected_land_km2","Suitable_Unprotected_percent_land","Unsuitable_Protected_land_km2","Unsuitable_Protected_percent_land","Unsuitable_Unprotected_land_km2","Unsuitable_Unprotected_percent_land","Unsuitable_land_km2","Unsuitable_percent_land"
"Minimum protected land",48368064.5425708,37.23,37.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minimum protected land plus default protection",50096068.5917949,38.56,38.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minimum protected land plus default unavailable",70887182.5922505,54.56,38.56,21356430.2831926,16.44,59043373.0317675,45.44,28739638.3089899,22.12,20791114.1057565,16,49530752.4147471,38.12
"Protection away from land use",35373276.2842611,27.22,27.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protection away from land use plus default protection",39978672.0482289,30.77,30.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protection away from land use plus default unavailable",67322621.3075984,51.81,30.77,17791868.992316,13.69,62607934.3226458,48.19,22186803.0563026,17.08,27343949.3584444,21.05,49530752.4147471,38.12
"Thirty percent uniform protection",26954897.5317057,20.75,20.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thirty percent uniform protection plus default protection",39143952.8339321,30.13,30.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thirty percent uniform protection plus default unavailable",72906996.9254794,56.11,30.13,23376244.5255748,17.99,57023558.7894067,43.89,15767708.3087411,12.14,33763044.1059992,25.99,49530752.4147471,38.12
"Current protection",12189055.3026107,9.38,9.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Current protection plus unsuitable unprotected (default unavailble)",56727421.7616213,43.66,9.38,7196669.8856743,5.54,73203133.4292889,56.34,4992385.41693646,3.84,44538366.997811,34.28,49530752.4147471,38.12
